Date,Album,Artist,Tags,Record_Label,Record_Label_Loc,Author,spotify_match_status,spotify_id,spotify_url,spotify_artist_id,spotify_match_artist,spotify_match_album,spotify_release_date,spotify_release_date_precision,spotify_album_type,spotify_total_tracks,spotify_image_url,spotify_upc,spotify_ean,spotify_copyright,spotify_artist_status,spotify_artist_image_url,spotify_artist_url
"July 26, 2022",Sedale Threat,Wrecking Crew,Hip-Hop/Rap,Independent Artist,"Philadelphia, Pennsylvania",Blake Gillespie,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86075s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 25, 2022",Hiss,Wormrot,Metal,Independent Artist,Singapore,Colin Williams,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86075s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 22, 2022",The Antidote Suite,JoVia Armstrong & Eunoia Society,Jazz,JoVia Armstrong &amp; Eunoia Society,"Detroit, Michigan",Piotr Orlov,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86075s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 21, 2022",Emahoy Tsege Mariam Gebru,Emahoy Tsege Mariam Gebru,Classical,Independent Artist,"Addis Ababa, Ethiopia",Mercy Kassa,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86075s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 20, 2022",Belief,Belief,Electronic,Independent Artist,"Los Angeles, California",James Gui,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86074s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 19, 2022","Hello, Hi",Ty Segall,Rock,Independent Artist,"Los Angeles, California",Elle Carroll,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86074s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 18, 2022",Ima ایما,Tegh & Adel Poursamadi,Ambient,Tegh,"Tehran, Iran",Will Pritchard,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86074s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 15, 2022",Spectral,Madeline Cocolas,Ambient,Madeleine Cocolas,"Tokyo, Japan",Ted Davis,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86074s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 14, 2022",Connection,The Maghreban,Electronic,Independent Artist,"London, UK",Andy Beta,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86073s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 13, 2022",Renaissance,DoomCannon,Jazz,Independent Artist,"London, UK",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86073s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 12, 2022",Bigger Sprout,Lawn,Rock,Independent Artist,"New Orleans, Louisiana",Charlie Zaillian,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86073s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 11, 2022",LOGGERHEAD,Wu-Lu,Alternative,Independent Artist,"London, UK",Joe Muggs,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86073s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 08, 2022",Spirit Exit,Caterina Barbieri,Ambient,caterina barbieri,"Berlin, Germany",Vanessa Ague,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86073s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 07, 2022",The Real Work,Party Dozen,Rock,Independent Artist,"Sydney, Australia",Brad Cohan,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86072s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 06, 2022",Beanna,Mejiwahn,Experimental,mejiwahn,"Oakland, California",Tasha Viets-VanLear,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86072s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 05, 2022",Human Capital,Bad Breeding,Punk,Independent Artist,"Stevenage, UK",Kerry Cardoza,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86072s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"July 01, 2022",Killed By Mock Execution,Mock Execution,Punk,LA VIDA ES UN MUS DISCOS,"London, UK",Kerry Cardoza,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86072s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 30, 2022",Páthos,Conjurer,Metal,Independent Artist,"Rugby, UK",Colin Williams,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86071s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 28, 2022",The Spur,Joan Shelley,Folk,Independent Artist,"Louisville, Kentucky",Peter Margasak,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86071s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 27, 2022",The Evil One,Nervus,Rock,Independent Artist,"Watford, UK",Charlie Zaillian,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86071s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 24, 2022",Heaven Is Here,Candy,Metal,Independent Artist,,Spencer Hughes,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86071s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 23, 2022",Aura,Hatis Noit,Experimental,Independent Artist,"London, UK",James Gui,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86071s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 22, 2022",King Cobra,Infinity Knives & Brian Ennals,Hip-Hop/Rap,INFINITY KNIVES,"Baltimore, Maryland",Phillip Mlynar,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86070s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 21, 2022",Seabed​-​Sunbath,Loris S. Sarid,Ambient,Loris S Sarid,"Glasgow, UK",Eli Schoop,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86070s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 20, 2022",Color Me Country: 2022 Remaster,Linda Martell,Country,Independent Artist,"Batesburg Leesville, South Carolina",Jim Allen,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86070s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 17, 2022",Pink Dolphins,Anteloper,Jazz,International Anthem,"Chicago, Illinois",Michael J. West,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86070s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 16, 2022",Love Is Yours,Flasher,Rock,Independent Artist,"Washington, D.C.",Charlie Zaillian,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86069s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 15, 2022",I Told Bessie,ELUCID,Hip-Hop/Rap,E L U C I D,New York,Nadine Smith,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86069s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 14, 2022",Ndikho Xaba and the Natives,Ndikho Xaba and the Natives,Jazz,Mississippi Records,"New York, New York",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86069s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 13, 2022",Kind Blade,MJ Noble,Experimental,Independent Artist,"Los Angeles, California",Elle Carroll,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86069s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 10, 2022",Persecution of the Living,Grave Infestation,Metal,Invictus Productions,"Dublin, Ireland",Sarah Kitteringham,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86068s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 09, 2022",BRC Vol. 2,Black Rave Culture,Electronic,Independent Artist,"Washington, D.C.",James Gui,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86068s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 08, 2022",Justice – The Vocal Works of Oliver Lake,Sonic Liberation Front,Jazz,High Two,"Philadelphia, Pennsylvania",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86068s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 07, 2022",Beja Power! Electric Soul & Brass from Sudan’s Red Sea Coast,Noori & His Dorpa Band,World,Ostinato Records,"New York, New York",Joshua Minsoo Kim,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86068s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 06, 2022",SUKISTAN,EMÆNUEL,Experimental,Independent Artist,"London, UK",Andy Beta,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86068s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 03, 2022",Síntomas de Techno: Ondas Electrónicas Subterráneas desde Perú (1985​-​1991),Various Artists,Experimental,Buh Records,"Lima, Peru",Jinhyung Kim,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86067s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 02, 2022",Flying Doesn’t Help,Anthony Moore,Experimental,Independent Artist,"Saint Leonards, UK",Sunik Kim,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86067s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"June 01, 2022",The Afrorack,Afrorack,Electronic,HAKUNA KULALA,"Kampala, Uganda",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86067s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 31, 2022",Hyaline,Maria BC,Ambient,Independent Artist,,Ted Davis,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86067s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 27, 2022",Gone Girl,Magi Merlin,R&amp;B/Soul,Independent Artist,"Montreal, Québec",Brittny Pierre,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86066s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 25, 2022",Pripyat,Marina Herlop,Experimental,Independent Artist,"Barcelona, Spain",Sam McLemore,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86066s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 24, 2022",Inside Out,Tourist,Electronic,Independent Artist,"London, UK",Will Pritchard,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86066s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 23, 2022",Personal Computer,Master Boot Record,Metal,MASTER BOOT RECORD,"Rome, Italy",Andrew Parks,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86066s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 20, 2022",Face the Wall,Jordana,Alternative,Independent Artist,"Los Angeles, California",Ruth Jiang,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86065s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 19, 2022",DEATHFAME,Quelle Chris,Hip-Hop/Rap,Independent Artist,"Detroit, Michigan",Phillip Mlynar,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86065s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 18, 2022",EG2: Dowsing Voice,Emma Ruth Rundle,Experimental,Independent Artist,"Portland, Oregon",Amaya Garcia,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86065s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 17, 2022",A Light for Attracting Attention,The Smile,Alternative,Independent Artist,"Oxford, UK",Andy Beta,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86065s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 16, 2022",Bi Cinnete Bakar,Lalalar,Funk,Independent Artist,"İstanbul, Turkey",Joshua Minsoo Kim,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86065s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 13, 2022",The Last Thing Left,Say Sue Me,Rock,Say Sue Me 세이수미,"Busan, South Korea",Jude Noel,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86064s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 12, 2022",Phototroph,Moon Tooth,Rock,Independent Artist,,Brad Sanders,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86064s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 11, 2022",The Rise & Fall Of Jaymie Silk & Rave Culture,Jaymie Silk,Electronic,Independent Artist,"Paris, France",Joe Muggs,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86064s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 10, 2022",Regrowth,Kalia Vandever,Classical,Independent Artist,"Brooklyn, New York",Vanessa Ague,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86064s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 09, 2022",Hydroplane,Hydroplane,Alternative,Independent Artist,"Melbourne, Australia",Shy Clara Thompson,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86064s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 06, 2022",A Bit of Previous,Belle & Sebastian,Alternative,Belle and Sebastian,"Glasgow, UK",Charlie Zaillian,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86063s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 05, 2022",A Chant About the Beauty of the Moon at Night: Hawaiian Steel Guitar Masters 1913-1921,Various Artists,,Magnificent Sounds Records,"Buffalo, New York",Shy Clara Thompson,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86063s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 04, 2022",Air Born,Varnrable,Alternative,Independent Artist,"Copenhagen, Denmark",Elle Carroll,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86063s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 03, 2022",Where’s The One?,Congotronics International,Rock,Independent Artist,,Andy Beta,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86063s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"May 02, 2022",No Island,Winged Wheel,Experimental,Winged Wheel,"Detroit, Michigan",Erin Margaret Day,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86063s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 29, 2022",… y que Calvos!,Los Calvos,Latin,Independent Artist,"Caracas, Venezuela",Richard Villegas,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86062s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 28, 2022",Void,SCALPING,Electronic,SCALER,"Bristol, UK",Colin Joyce,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86062s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 27, 2022",WEMA,WEMA,World,Independent Artist,"London, UK",Piotr Orlov,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86062s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 26, 2022",everything perfect is already here,claire rousay,Experimental,Independent Artist,"Los Angeles, California",Miles Bowe,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86061s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 25, 2022",Crime of Passing,Crime of Passing,Punk,Independent Artist,"Cincinnati, Ohio",Kerry Cardoza,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86061s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 22, 2022",HOP HOP,Tigris,Funk,Independent Artist,"Tel Aviv, Israel",Dave Jenkins,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86061s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 21, 2022",imagine naked!,OHYUNG,Ambient,Independent Artist,"New York, New York",Ruth Jiang,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86061s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 20, 2022",Incubator,Primer,Alternative,Independent Artist,"Los Angeles, California",Tasha Viets-VanLear,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86061s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 19, 2022",SOS,Straw Man Army,Punk,LA VIDA ES UN MUS DISCOS,"London, UK",JJ Skolnik,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86060s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 18, 2022",Dreams Drenched in Static,Cremation Lily,Metal,Independent Artist,"England, UK",Louis Pattison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86060s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 15, 2022",Aethiopes,billy woods,Hip-Hop/Rap,Independent Artist,"New York, New York",Phillip Mlynar,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86060s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 14, 2022",Papillon de Nuit: The Night Butterfly,Tanika Charles,R&amp;B/Soul,Independent Artist,Toronto,Piotr Orlov,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86060s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 13, 2022","Live in New York City, February 8, 1975",Alan Braufman,Jazz,Independent Artist,"New York, New York",Britt Robson,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86059s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 12, 2022",Other Ways of Living,Local Tourist,Rock,Independent Artist,Virginia,Annie Zaleski,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86059s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 11, 2022",Viento Sur,Various Artists,Experimental,Vampisoul,"Madrid, Spain",Andy Beta,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86059s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 08, 2022",Tuqoos | طُقُوس,Julmud,Electronic,Bilna&#39;es بالناقص,Palestine,James Gui,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86059s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 07, 2022",Nothing’s Ever Fine,Oceanator,Alternative,Independent Artist,New York,Elle Carroll,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86059s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 06, 2022",I Just Want To Be A Good Man,Pastor Champion,Devotional,Independent Artist,"Oakland, California",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86058s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 05, 2022",THE UNRAVELING OF PUPTHEBAND,PUP,Punk,Independent Artist,"Toronto, Ontario",Charlie Zaillian,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86058s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 04, 2022",Midnight Rocker,Horace Andy,Reggae,Independent Artist,"Kingston, Jamaica",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86058s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"April 01, 2022",The Leather Lemon,P.E.,Alternative,Independent Artist,"Brooklyn, New York",Andrew Parks,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86058s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 31, 2022",Key to a Vanishing Future,Falls of Rauros,Metal,Gilead Media,"Oshkosh, Wisconsin",Ben Salmon,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86058s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 30, 2022",Whatever The Weather,Whatever The Weather,Ambient,Independent Artist,"London, UK",Ted Davis,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86057s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 29, 2022",Mabanzo,Juanita Euka,Latin,Independent Artist,"London, UK",Amaya Garcia,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86057s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 28, 2022",Electricity,Ibibio Sound Machine,World,Independent Artist,UK,Saby Reyes-Kulkarni,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86057s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 25, 2022",Warm Chris,Aldous Harding,Folk,Independent Artist,New Zealand,Mariana Timony,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86057s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 24, 2022",Medhead,Cosmo Vitelli,Electronic,Independent Artist,"Berlin, Germany",Miles Bowe,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86057s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 23, 2022",Laminated Skies,Raw Poetic and Damu The Fudgemunk,Hip-Hop/Rap,Raw Poetic,"Washington, D.C.",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86056s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 22, 2022",Between Two Worlds / Entre Dos Mundos,Amaru Tribe,Latin,Independent Artist,"Melbourne, Australia",Rebecca Bodenheimer,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86056s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 21, 2022",The Art of Flight: For Alvin Fielder,Survival Unit III,Jazz,Independent Artist,"Poughkeepsie, New York",Peter Margasak,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86056s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 18, 2022",Holy Body Roll,A. Billi Free & The Lasso,Funk,The Lasso,Michigan,Amaya Garcia,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86056s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 17, 2022",Yayoyanoh,Yayoyanoh,Electronic,Precious Metals,"London, UK",John Morrison,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86056s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 16, 2022",V4 Visions: Of Love & Androids,Various Artists,R&amp;B/Soul,V4 Visions,"London, UK",Blake Gillespie,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86055s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 15, 2022",Crease,Kee Avil,Experimental,Independent Artist,"Montreal, Québec",Miles Bowe,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86055s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 14, 2022",ONDAMICUNDERDACOZMICLYTZ,NAPPYNAPPA,Hip-Hop/Rap,Independent Artist,"Washington, D.C.",Jonathan Williger,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86055s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 11, 2022",Meadow Flower,Star Party,Punk,Independent Artist,"Seattle, Washington",Ben Salmon,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86055s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
"March 10, 2022",Too Small to Be a Plain,Lia Kohl,Experimental,SHINKOYO / ARTIST POOL,,Shy Clara Thompson,"error: Rate limited on GET https://api.spotify.com/v1/search: Spotify asked us to wait 86055s, above the 60s cap. Stopping instead of blocking — let it cool down before retrying.",,,,,,,,,,,,,,,,
